Año,Min,FG %,3PT%,FT%,Receptions,Assists,BLK(Tapones),STL(Recoveries),PF(Personal Faults),TO(Ball Lost),PTS_next_match,WinBinary,LocalPoints,VisitorPoints,LebronTeamPoints,OtherTeamPoints,Local_Binary,FG_made,FG_attempted,FT_made,FT_attempted,3PTS_made,3PTS_attempted,AñoMes,3PT%_rolling_mean_4,3PTS_attempted_rolling_mean_4,3PTS_made_rolling_mean_4,Assists_rolling_mean_4,Año_rolling_mean_4,BLK(Tapones)_rolling_mean_4,FG %_rolling_mean_4,FG_attempted_rolling_mean_4,FG_made_rolling_mean_4,FT%_rolling_mean_4,FT_attempted_rolling_mean_4,FT_made_rolling_mean_4,LebronTeamPoints_rolling_mean_4,LocalPoints_rolling_mean_4,Local_Binary_rolling_mean_4,OtherTeamPoints_rolling_mean_4,PF(Personal Faults)_rolling_mean_4,Receptions_rolling_mean_4,STL(Recoveries)_rolling_mean_4,TO(Ball Lost)_rolling_mean_4,VisitorPoints_rolling_mean_4,WinBinary_rolling_mean_4,three_point_ratio,free_throw_ratio,lebron_team_points_ratio,three_point_ratio_rolling_mean_4,free_throw_ratio_rolling_mean_4,lebron_team_points_ratio_rolling_mean_4
2018.0,39,0.6,0.625,0.5,8.0,10.0,0.0,1.0,2.0,3.0,31.0,1.0,113.0,108.0,108.0,113.0,1.0,15.0,25.0,4.0,8.0,5.0,8.0,2018-03,0.45099999999999996,6.25,2.75,8.5,2018.0,1.5,0.525,19.75,10.5,0.54175,7.5,5.25,114.5,121.25,0.5,114.25,1.5,10.0,1.75,3.75,107.5,0.5,0.625,0.5,0.28703703703703703,0.45089285714285715,0.5416666666666667,0.2610983481775273
2018.0,29,0.647,0.7140000000000001,0.667,7.0,7.0,0.0,1.0,2.0,3.0,25.0,1.0,112.0,90.0,90.0,112.0,1.0,11.0,17.0,4.0,6.0,5.0,7.0,2018-03,0.5045,7.5,3.75,7.5,2018.0,1.0,0.56175,20.5,11.5,0.49175,5.25,3.0,110.25,117.0,0.5,110.0,1.5,8.75,1.25,3.25,103.25,0.5,0.7142857142857143,0.6666666666666666,0.2777777777777778,0.5044642857142857,0.4916666666666667,0.2744680262668316
2018.0,42,0.42100000000000004,0.25,0.727,10.0,15.0,0.0,2.0,2.0,3.0,30.0,0.0,126.0,117.0,126.0,117.0,0.0,8.0,19.0,8.0,11.0,1.0,4.0,2018-03,0.5045,6.5,3.5,9.5,2018.0,0.75,0.5545,20.25,11.25,0.47350000000000003,6.75,4.0,110.0,116.75,0.5,111.0,2.0,8.75,1.5,3.5,104.25,0.5,0.25,0.7272727272727273,0.23809523809523808,0.5044642857142857,0.47348484848484845,0.28477923736544425
2018.0,39,0.5,0.33299999999999996,0.667,9.0,8.0,0.0,1.0,2.0,3.0,31.0,0.0,108.0,97.0,108.0,97.0,0.0,12.0,24.0,4.0,6.0,2.0,6.0,2018-03,0.48050000000000004,6.25,3.25,10.0,2018.0,0.0,0.542,21.25,11.5,0.64025,7.75,5.0,108.0,114.75,0.5,109.75,2.0,8.5,1.25,3.0,103.0,0.5,0.3333333333333333,0.6666666666666666,0.28703703703703703,0.4806547619047619,0.6401515151515151,0.27248677248677244
2018.0,39,0.52,0.5,1.0,12.0,11.0,0.0,1.0,1.0,1.0,33.0,1.0,129.0,123.0,123.0,129.0,1.0,13.0,25.0,3.0,3.0,2.0,4.0,2018-02,0.44925000000000004,5.25,2.5,10.25,2018.0,0.0,0.522,21.25,11.0,0.76525,6.5,4.75,111.75,118.75,0.5,113.75,1.75,9.5,1.25,2.5,106.75,0.5,0.5,1.0,0.2682926829268293,0.4494047619047619,0.7651515151515151,0.2678006839592205
2018.0,40,0.56,0.4,0.75,13.0,9.0,0.0,1.0,3.0,6.0,18.0,0.0,110.0,94.0,110.0,94.0,0.0,14.0,25.0,3.0,4.0,2.0,5.0,2018-02,0.37075,4.75,1.75,10.75,2018.0,0.0,0.5002500000000001,23.25,11.75,0.786,6.0,4.5,116.75,118.25,0.25,109.25,2.0,11.0,1.25,3.25,107.75,0.25,0.4,0.75,0.16363636363636364,0.37083333333333335,0.7859848484848484,0.239265330423867
2018.0,37,0.43799999999999994,0.0,1.0,14.0,11.0,0.0,1.0,0.0,3.0,32.0,1.0,112.0,89.0,89.0,112.0,1.0,7.0,16.0,4.0,4.0,0.0,2.0,2018-02,0.30825,4.25,1.5,9.75,2018.0,0.0,0.5045,22.5,11.5,0.85425,4.25,3.5,107.5,114.75,0.5,108.0,1.5,12.0,1.0,3.25,100.75,0.5,0.0,1.0,0.3595505617977528,0.30833333333333335,0.8541666666666666,0.26962916134949566
2018.0,37,0.722,0.25,0.556,9.0,8.0,0.0,2.0,2.0,4.0,37.0,0.0,110.0,103.0,110.0,103.0,0.0,13.0,18.0,5.0,9.0,1.0,4.0,2018-02,0.2875,3.75,1.25,9.75,2018.0,0.0,0.5599999999999999,21.0,11.75,0.8265,5.0,3.75,108.0,115.25,0.5,109.5,1.5,12.0,1.25,3.5,102.25,0.5,0.25,0.5555555555555556,0.33636363636363636,0.2875,0.8263888888888888,0.2819608111811455
2018.0,40,0.609,0.429,0.6,8.0,8.0,1.0,0.0,1.0,5.0,24.0,1.0,120.0,112.0,112.0,120.0,1.0,14.0,23.0,6.0,10.0,3.0,7.0,2018-02,0.26975,4.5,1.5,9.0,2018.0,0.25,0.5822499999999999,20.5,12.0,0.7265,6.75,4.5,105.25,113.0,0.5,107.25,1.5,11.0,1.0,4.5,99.5,0.5,0.42857142857142855,0.6,0.21428571428571427,0.26964285714285713,0.7263888888888889,0.26845906902086675
2018.0,28,0.45,0.4,0.571,8.0,10.0,1.0,1.0,1.0,2.0,22.0,1.0,121.0,99.0,99.0,121.0,1.0,9.0,20.0,4.0,7.0,2.0,5.0,2018-02,0.26975,4.5,1.5,9.25,2018.0,0.5,0.55475,19.25,10.75,0.68175,7.5,4.75,102.5,115.75,0.75,114.0,1.0,9.75,1.0,3.5,100.75,0.75,0.4,0.5714285714285714,0.2222222222222222,0.2696428571428572,0.6817460317460318,0.28310553366733143
2018.0,41,0.4,0.0,0.857,12.0,19.0,0.0,0.0,2.0,3.0,37.0,1.0,123.0,107.0,107.0,123.0,1.0,8.0,20.0,6.0,7.0,0.0,3.0,2018-02,0.26975,4.75,1.5,11.25,2018.0,0.5,0.54525,20.25,11.0,0.646,8.25,5.25,107.0,118.5,0.75,116.75,1.5,9.25,0.75,3.5,105.25,0.75,0.0,0.8571428571428571,0.34579439252336447,0.2696428571428572,0.646031746031746,0.27966649134873434
2018.0,48,0.727,0.7140000000000001,0.0,10.0,15.0,1.0,1.0,3.0,5.0,25.0,1.0,140.0,138.0,138.0,140.0,1.0,16.0,22.0,0.0,2.0,5.0,7.0,2018-02,0.38575000000000004,5.5,2.5,13.0,2018.0,0.75,0.5465,21.25,11.75,0.507,6.5,4.0,114.0,126.0,1.0,126.0,1.75,9.5,0.5,3.75,114.0,1.0,0.7142857142857143,0.0,0.18115942028985507,0.38571428571428573,0.5071428571428571,0.240865437330289
